"Zeit" "Menge" "Distanz" "Ort" "Generation"
"1" 16.68 7 168 "San Diego" "alt"
"2" 11.5 3 66 "San Diego" "alt"
"3" 12.03 3 102 "San Diego" "alt"
"4" 14.88 4 24 "San Diego" "alt"
"5" 13.75 6 45 "San Diego" "alt"
"6" 18.11 7 99 "San Diego" "alt"
"7" 8 2 33 "San Diego" "alt"
"8" 17.83 7 63 "Boston" "alt"
"9" 79.24 30 438 "Boston" "alt"
"10" 21.5 5 181.5 "Boston" "alt"
"11" 40.33 16 206.4 "Boston" "alt"
"12" 21 10 64.5 "Boston" "alt"
"13" 13.5 4 76.5 "Boston" "alt"
"14" 19.75 6 138.6 "Boston" "alt"
"15" 24 9 134.4 "Boston" "alt"
"16" 29 10 232.8 "Boston" "alt"
"17" 15.35 6 60 "Boston" "alt"
"18" 19 7 39.6 "Austin" "alt"
"19" 9.5 3 10.8 "Austin" "alt"
"20" 35.1 17 231 "Austin" "alt"
"21" 17.9 10 42 "Austin" "alt"
"22" 52.32 26 243 "Austin" "alt"
"23" 18.75 9 135 "Austin" "alt"
"24" 19.83 8 190.5 "Minneapolis" "alt"
"25" 10.75 4 45 "Minneapolis" "alt"
"26" 46.5569663538363 20 231 "San Diego" "alt"
"27" 47.0225383934617 28 31 "Minneapolis" "neu"
"28" 44.2885116249343 21 187 "Austin" "alt"
"29" 54.5629753078763 26 278 "Minneapolis" "neu"
"30" 30.6210567280828 13 143 "Minneapolis" "neu"
"31" 66.7849758214919 33 86 "Boston" "neu"
"32" 55.5639006119401 30 100 "Boston" "alt"
"33" 31.9208830419248 19 50 "Austin" "neu"
"34" 75.854093042336 42 77 "Minneapolis" "neu"
"35" 31.4428867713433 18 59 "San Diego" "alt"
"36" 34.1757728498455 15 76 "Boston" "neu"
"37" 51.5018039546744 25 81 "Austin" "neu"
"38" 72.1194715334035 30 364 "San Diego" "neu"
"39" 27.2923726495916 7 292 "Minneapolis" "alt"
"40" 26.9739326200795 6 227 "San Diego" "alt"
"41" 55.5615341702377 28 168 "Austin" "alt"
"42" 28.9642905652193 16 71 "Austin" "alt"
"43" 27.1840678158235 15 31 "Austin" "alt"
"44" 8.3354913771702 3 128 "Austin" "neu"
"45" 47.3119671534925 22 124 "Austin" "alt"
"46" 62.7719732796644 34 32 "Austin" "alt"
"47" 58.8108555353173 30 196 "Boston" "neu"
"48" 30.4372304888518 13 175 "Austin" "alt"
"49" 35.3975497311842 10 381 "San Diego" "alt"
"50" 13.1903790196792 5 25 "Minneapolis" "neu"
"51" 9.84747596004917 2 36 "Minneapolis" "alt"
"52" 50.3798097478954 18 375 "Minneapolis" "neu"
