"income","infant","region","oil","LogInfant","LogIncome"
3426,26.7,"Asia","no",3.2846635654062,8.13914867888407
3350,23.7,"Europe","no",3.16547504814109,8.11671562481911
3346,17,"Europe","no",2.83321334405622,8.11552088154677
4751,16.8,"Americas","no",2.82137888640921,8.46611040118692
5029,13.5,"Europe","no",2.60268968544438,8.52297643617196
3312,10.1,"Europe","no",2.31253542384721,8.10530751550515
3403,12.9,"Europe","no",2.55722731136763,8.13241267450091
5040,20.4,"Europe","no",3.01553490085017,8.52516136106541
2009,17.8,"Europe","no",2.87919845729804,7.60539236481493
2298,25.7,"Europe","no",3.24649099190117,7.7397944584087
3292,11.7,"Europe","no",2.45958884180371,8.09925056179696
4103,11.6,"Europe","no",2.45100509811232,8.31947369244219
3723,16.2,"Asia","no",2.78501124223834,8.22228507387272
4102,11.3,"Europe","no",2.42480272571829,8.31922993863233
956,44.8,"Europe","no",3.80220813942094,6.8627579130514
1000,71.5,"Africa","no",4.26969744969996,6.90775527898214
5596,9.6,"Europe","no",2.26176309847379,8.62980733578537
2963,12.8,"Europe","no",2.54944517092557,7.99395754757357
2503,17.5,"Europe","no",2.86220088092947,7.82524529143177
5523,17.6,"Americas","no",2.86789890204411,8.61667646990119
400,86.3,"Africa","yes",4.45782959808938,5.99146454710798
250,78.5,"Americas","yes",4.36309862478836,5.52146091786225
110,125,"Asia","yes",4.8283137373023,4.70048036579242
1280,NA,"Asia","yes",NA,7.15461535691366
560,28.1,"Asia","yes",3.3357695763397,6.32793678372919
3010,300,"Africa","yes",5.7037824746562,8.00969535774292
220,58,"Africa","yes",4.06044301054642,5.39362754635236
1530,650,"Asia","yes",6.47697236288968,7.33302301438648
1240,51.7,"Americas","yes",3.94545778151438,7.12286665859908
1191,59.6,"Americas","no",4.0876555740713,7.0825485693553
425,170,"Americas","no",5.13579843705026,6.05208916892442
590,78,"Americas","no",4.35670882668959,6.38012253689976
426,62.8,"Americas","no",4.13995507347415,6.05443934626937
725,54.4,"Americas","no",3.9963641538619,6.58617165485467
406,48.8,"Americas","no",3.8877303128591,6.00635315960173
1760,27.8,"Europe","no",3.32503602069659,7.4730690880322
302,79.1,"Americas","no",4.37071287477361,5.71042701737487
2526,22.1,"Asia","no",3.09557760852371,7.83439230291044
727,26.2,"Americas","no",3.26575941076705,6.58892647753352
631,13.6,"Asia","no",2.61006979274201,6.44730586254121
295,32,"Asia","no",3.46573590279973,5.68697535633982
684,60.9,"Americas","no",4.10923317471585,6.52795791762255
507,46,"Americas","no",3.8286413964891,6.22851100359118
754,34.1,"Americas","no",3.52929738428947,6.62539236800796
335,65.1,"Americas","no",4.17592454921452,5.81413053182507
1268,20.4,"Asia","no",3.01553490085017,7.14519613499717
1256,15.1,"Europe","no",2.71469474382088,7.13568734702814
261,19.1,"Asia","no",2.94968833505258,5.56452040732269
732,26.2,"Americas","no",3.26575941076705,6.59578051396131
434,76.3,"Africa","no",4.33467293829041,6.07304453410041
799,40.4,"Americas","no",3.6988297849671,6.68336094576627
406,43.3,"Europe","no",3.76815263500844,6.00635315960173
310,259,"Africa","no",5.55682806169954,5.73657229747919
200,60.4,"Americas","no",4.10098910494077,5.29831736654804
100,137,"Africa","no",4.91998092582813,4.60517018598809
281,180,"Africa","no",5.19295685089021,5.63835466933375
210,114,"Africa","no",4.7361984483945,5.34710753071747
319,58.2,"Americas","no",4.06388535473739,5.76519110278484
217,63.7,"Africa","no",4.15418456257812,5.37989735354046
284,39.3,"Americas","no",3.67122451887522,5.64897423816121
387,138,"Africa","no",4.92725368515721,5.95842469302978
334,21.3,"Asia","no",3.05870707271538,5.8111409929767
344,58,"Asia","no",4.06044301054642,5.8406416573734
197,159.2,"Africa","no",5.07016127341028,5.28320372873799
279,149,"Africa","no",5.00394630594546,5.63121178182137
477,10.2,"Asia","no",2.32238772029023,6.16751649088834
347,38.6,"Americas","no",3.65325227647079,5.84932477994686
230,67.9,"Asia","no",4.21803603456465,5.4380793089232
334,21.7,"Asia","no",3.07731226054641,5.8111409929767
210,27,"Asia","no",3.29583686600433,5.34710753071747
435,153,"Asia","no",5.03043792139244,6.07534603108868
130,100,"Asia","no",4.60517018598809,4.86753445045558
75,400,"Asia","no",5.99146454710798,4.31748811353631
100,124.3,"Asia","no",4.82269799851667,4.60517018598809
73,200,"Asia","no",5.29831736654804,4.29045944114839
68,150,"Africa","no",5.01063529409626,4.21950770517611
123,100,"Asia","no",4.60517018598809,4.81218435537242
122,190,"Africa","no",5.24702407216049,4.80402104473326
70,160,"Africa","no",5.07517381523383,4.24849524204936
81,109.6,"Africa","no",4.69683737451392,4.39444915467244
79,84.2,"Africa","no",4.43319492124828,4.36944785246702
79,216,"Africa","no",5.37527840768417,4.36944785246702
100,NA,"Americas","no",NA,4.60517018598809
93,60.6,"Asia","no",4.10429489307527,4.53259949315326
169,55,"Africa","no",4.00733318523247,5.12989871492307
71,NA,"Asia","no",NA,4.26267987704132
120,102,"Africa","no",4.62497281328427,4.78749174278205
130,148.3,"Africa","no",4.99923724914389,4.86753445045558
50,120,"Africa","no",4.78749174278205,3.91202300542815
174,187,"Africa","no",5.23110861685459,5.15905529921453
90,NA,"Asia","no",NA,4.49980967033027
70,200,"Africa","no",5.29831736654804,4.24849524204936
102,124.3,"Asia","no",4.82269799851667,4.62497281328427
61,132.9,"Africa","no",4.8895969657192,4.11087386417331
148,170,"Africa","no",5.13579843705026,4.99721227376411
85,158,"Africa","no",5.06259503302697,4.44265125649032
162,45.1,"Asia","no",3.80888224650863,5.08759633523238
125,129.4,"Africa","no",4.8629083820668,4.8283137373023
120,162.5,"Africa","no",5.09067800176979,4.78749174278205
160,127,"Africa","no",4.84418708645859,5.07517381523383
134,160,"Africa","no",5.07517381523383,4.89783979995091
82,180,"Africa","no",5.19295685089021,4.40671924726425
96,80,"Asia","no",4.38202663467388,4.56434819146784
77,50,"Asia","no",3.91202300542815,4.34380542185368
118,104,"Africa","no",4.64439089914137,4.77068462446567
