Monat.Jahr;Anzahl
Jan 00;26630
Feb 00;29795
Mär 00;44960
Apr 00;42785
Mai 00;47288
Juni 00;39881
Juli 00;37194
Aug 00;33485
Sep 00;32249
Okt 00;31213
Nov 00;25043
Dez 00;27419
Jan 01;29618
Feb 01;29950
Mär 01;42873
Apr 01;43357
Mai 01;46975
Juni 01;42364
Juli 01;37783
Aug 01;32940
Sep 01;28544
Okt 01;31457
Nov 01;31299
Dez 01;23099
Jan 02;27203
Feb 02;27898
Mär 02;39322
Apr 02;42203
Mai 02;41103
Juni 02;39662
Juli 02;36540
Aug 02;27046
Sep 02;28487
Okt 02;30174
Nov 02;26285
Dez 02;24417
Jan 03;24214
Feb 03;23077
Mär 03;32947
Apr 03;39447
Mai 03;39243
Juni 03;38454
Juli 03;35755
Aug 03;26281
Sep 03;27825
Okt 03;28916
Nov 03;25653
Dez 03;23297
Jan 04;22907
Feb 04;24010
Mär 04;36896
Apr 04;40178
Mai 04;37450
Juni 04;39004
Juli 04;32238
Aug 04;27084
Sep 04;26819
Okt 04;26714
Nov 04;26266
Dez 04;24740
Jan 05;22673
Feb 05;21344
Mär 05;34387
Apr 05;40478
Mai 05;35363
Juni 05;37956
Juli 05;31126
Aug 05;26173
Sep 05;28855
Okt 05;26506
Nov 05;26235
Dez 05;25592
Jan 06;23923
Feb 06;23305
Mär 06;37861
Apr 06;36231
Mai 06;40334
Juni 06;41170
Juli 06;30955
Aug 06;25573
Sep 06;26730
Okt 06;27729
Nov 06;27928
Dez 06;28063
Jan 07;23648
Feb 07;24846
Mär 07;38007
Apr 07;37414
Mai 07;39611
Juni 07;42388
Juli 07;34336
Aug 07;30065
Sep 07;28126
Okt 07;31648
Nov 07;30727
Dez 07;27079
Jan 08;27495
Feb 08;29724
Mär 08;34066
Apr 08;42815
Mai 08;39518
Juni 08;41407
Juli 08;37540
Aug 08;27614
Sep 08;29849
Okt 08;31392
Nov 08;25827
Dez 08;28660
Jan 09;22947
Feb 09;23074
Mär 09;34094
Apr 09;38313
Mai 09;34542
Juni 09;37608
Juli 09;33779
Aug 09;26033
Sep 09;29031
Okt 09;29461
Nov 09;27334
Dez 09;28871
Jan 10;23895
Feb 10;24250
Mär 10;40655
Apr 10;39052
Mai 10;35819
Juni 10;43134
Juli 10;35679
Aug 10;28336
Sep 10;30014
Okt 10;31075
Nov 10;31120
Dez 10;33773
